t,ax,ay,az
4524.928000,1.031494,-0.022217,-0.029053
4524.939000,1.032959,-0.019287,-0.030273
4524.951000,1.029785,-0.017822,-0.026611
4524.962000,1.029785,-0.019531,-0.032471
4524.973000,1.039062,-0.017578,-0.038818
4524.985000,1.035400,-0.017578,-0.031982
4524.996000,1.033447,-0.014893,-0.034424
4525.007000,1.035644,-0.016113,-0.039307
4525.019000,1.035156,-0.020264,-0.033447
4525.030000,1.034180,-0.020020,-0.036621
4525.043000,1.033691,-0.018066,-0.030273
4525.055000,1.032227,-0.020508,-0.028809
4525.067000,1.034424,-0.020508,-0.030273
4525.078000,1.035156,-0.017090,-0.045166
4525.089000,1.031250,-0.020020,-0.036621
4525.100000,1.036621,-0.020508,-0.040527
