t,mx,my,mz
4582.983000,-1.086328,38.383596,8.353126
4583.002000,-1.086328,38.383596,8.353126
4583.021000,-1.086328,38.383596,8.353126
4583.041000,-1.086328,38.383596,8.353126
4583.061000,-1.086328,38.383596,8.353126
4583.080000,-0.543164,38.926756,9.919336
4583.100000,-0.543164,38.926756,9.919336
4583.120000,-0.543164,38.926756,9.919336
4583.140000,-0.543164,38.926756,9.919336
4583.160000,-0.543164,38.926756,9.919336
4583.181000,-0.543164,38.926756,9.919336
4583.201000,0.543164,38.202540,10.615430
4583.222000,0.543164,38.202540,10.615430
4583.242000,0.543164,38.202540,10.615430
4583.263000,0.543164,38.202540,10.615430
4583.283000,0.543164,38.202540,10.615430
4583.304000,0.543164,38.202540,10.615430
4583.324000,0.543164,38.202540,10.615430
4583.344000,1.448438,36.935156,11.137501
4583.365000,1.448438,36.935156,11.137501
4583.385000,1.448438,36.935156,11.137501
4583.404000,1.448438,36.935156,11.137501
4583.423000,1.448438,36.935156,11.137501
4583.442000,1.448438,36.935156,11.137501
4583.462000,2.172656,37.297268,10.441406
4583.482000,2.172656,37.297268,10.441406
4583.502000,2.172656,37.297268,10.441406
4583.521000,2.172656,37.297268,10.441406
4583.541000,2.172656,37.297268,10.441406
4583.560000,2.172656,37.297268,10.441406
4583.580000,3.983203,37.297268,10.789454
4583.600000,3.983203,37.297268,10.789454
4583.620000,3.983203,37.297268,10.789454
4583.641000,3.983203,37.297268,10.789454
4583.662000,3.983203,37.297268,10.789454
4583.682000,3.983203,37.297268,10.789454
4583.702000,3.983203,37.297268,10.789454
4583.722000,4.526367,38.926756,11.311523
4583.742000,4.526367,38.926756,11.311523
4583.762000,4.526367,38.926756,11.311523
4583.782000,4.526367,38.926756,11.311523
4583.802000,4.526367,38.926756,11.311523
4583.821000,4.526367,38.926756,11.311523
4583.840000,4.707422,38.745704,12.181642
4583.860000,4.707422,38.745704,12.181642
4583.879000,4.707422,38.745704,12.181642
4583.899000,4.707422,38.745704,12.181642
4583.918000,4.707422,38.745704,12.181642
4583.937000,4.707422,38.745704,12.181642
4583.957000,4.707422,38.745704,12.181642
4583.976000,6.699024,40.013090,11.311523
4583.996000,6.699024,40.013090,11.311523
4584.016000,6.699024,40.013090,11.311523
4584.036000,6.699024,40.013090,11.311523
4584.056000,6.699024,40.013090,11.311523
4584.076000,6.699024,40.013090,11.311523
4584.097000,8.509571,39.288868,11.311523
4584.118000,8.509571,39.288868,11.311523
4584.139000,8.509571,39.288868,11.311523
4584.158000,8.509571,39.288868,11.311523
4584.178000,8.509571,39.288868,11.311523
4584.198000,8.509571,39.288868,11.311523
4584.218000,6.699024,38.564650,10.963477
4584.238000,6.699024,38.564650,10.963477
4584.257000,6.699024,38.564650,10.963477
4584.276000,6.699024,38.564650,10.963477
4584.295000,6.699024,38.564650,10.963477
4584.315000,6.699024,38.564650,10.963477
4584.335000,6.699024,38.564650,10.963477
4584.354000,8.147461,39.650980,12.703712
4584.373000,8.147461,39.650980,12.703712
4584.393000,8.147461,39.650980,12.703712
4584.413000,8.147461,39.650980,12.703712
4584.433000,8.147461,39.650980,12.703712
4584.454000,8.147461,39.650980,12.703712
4584.474000,10.139063,38.745704,11.833594
4584.494000,10.139063,38.745704,11.833594
4584.514000,10.139063,38.745704,11.833594
4584.534000,10.139063,38.745704,11.833594
4584.554000,10.139063,38.745704,11.833594
4584.574000,10.139063,38.745704,11.833594
4584.594000,10.682227,39.650980,11.311523
4584.614000,10.682227,39.650980,11.311523
4584.633000,10.682227,39.650980,11.311523
4584.652000,10.682227,39.650980,11.311523
4584.671000,10.682227,39.650980,11.311523
4584.690000,10.682227,39.650980,11.311523
4584.709000,10.682227,39.650980,11.311523
4584.729000,9.776954,38.383596,9.397266
4584.748000,9.776954,38.383596,9.397266
4584.794000,9.776954,38.383596,9.397266
4584.813000,9.776954,38.383596,9.397266
4584.832000,9.776954,38.383596,9.397266
4584.851000,10.320118,39.288868,10.615430
4584.871000,10.320118,39.288868,10.615430
4584.891000,10.320118,39.288868,10.615430
4584.911000,10.320118,39.288868,10.615430
4584.931000,10.320118,39.288868,10.615430
4584.951000,10.320118,39.288868,10.615430
4584.971000,11.949610,39.832030,11.137501
4584.991000,11.949610,39.832030,11.137501
4585.011000,11.949610,39.832030,11.137501
4585.031000,11.949610,39.832030,11.137501
4585.050000,11.949610,39.832030,11.137501
4585.069000,11.949610,39.832030,11.137501
4585.088000,11.949610,39.832030,11.137501
4585.107000,9.958008,38.202540,9.919336
4585.126000,9.958008,38.202540,9.919336
4585.145000,9.958008,38.202540,9.919336
4585.166000,9.958008,38.202540,9.919336
4585.186000,9.958008,38.202540,9.919336
4585.207000,9.958008,38.202540,9.919336
4585.227000,10.863281,40.194140,10.441406
4585.246000,10.863281,40.194140,10.441406
4585.266000,10.863281,40.194140,10.441406
4585.285000,10.863281,40.194140,10.441406
4585.305000,10.863281,40.194140,10.441406
4585.325000,10.863281,40.194140,10.441406
4585.345000,10.863281,40.194140,10.441406
4585.366000,13.579102,39.650980,12.007618
4585.386000,13.579102,39.650980,12.007618
4585.406000,13.579102,39.650980,12.007618
4585.426000,13.579102,39.650980,12.007618
4585.445000,13.579102,39.650980,12.007618
4585.464000,13.579102,39.650980,12.007618
4585.484000,13.216992,37.840430,13.051759
4585.503000,13.216992,37.840430,13.051759
4585.522000,13.216992,37.840430,13.051759
4585.541000,13.216992,37.840430,13.051759
4585.560000,13.216992,37.840430,13.051759
4585.581000,13.216992,37.840430,13.051759
4585.600000,13.216992,37.840430,13.051759
4585.620000,15.751759,39.650980,12.355664
4585.640000,15.751759,39.650980,12.355664
4585.660000,15.751759,39.650980,12.355664
4585.680000,15.751759,39.650980,12.355664
4585.700000,15.751759,39.650980,12.355664
4585.720000,15.751759,39.650980,12.355664
4585.741000,14.846485,40.194140,11.485547
4585.761000,14.846485,40.194140,11.485547
4585.781000,14.846485,40.194140,11.485547
4585.801000,14.846485,40.194140,11.485547
4585.820000,14.846485,40.194140,11.485547
4585.839000,14.846485,40.194140,11.485547
4585.859000,15.570704,37.297268,12.181642
4585.879000,15.570704,37.297268,12.181642
4585.898000,15.570704,37.297268,12.181642
4585.917000,15.570704,37.297268,12.181642
4585.936000,15.570704,37.297268,12.181642
4585.955000,15.570704,37.297268,12.181642
4585.974000,15.570704,37.297268,12.181642
4585.994000,16.838088,39.288868,12.703712
4586.014000,16.838088,39.288868,12.703712
4586.034000,16.838088,39.288868,12.703712
4586.054000,16.838088,39.288868,12.703712
4586.075000,16.838088,39.288868,12.703712
4586.095000,16.838088,39.288868,12.703712
4586.115000,17.019142,38.745704,12.529688
4586.135000,17.019142,38.745704,12.529688
4586.154000,17.019142,38.745704,12.529688
4586.173000,17.019142,38.745704,12.529688
4586.192000,17.019142,38.745704,12.529688
4586.211000,17.019142,38.745704,12.529688
4586.230000,17.019142,38.745704,12.529688
4586.249000,17.562306,39.650980,10.267384
4586.268000,17.562306,39.650980,10.267384
4586.287000,17.562306,39.650980,10.267384
4586.308000,17.562306,39.650980,10.267384
4586.328000,17.562306,39.650980,10.267384
4586.348000,17.562306,39.650980,10.267384
4586.368000,19.010742,37.840430,11.311523
4586.388000,19.010742,37.840430,11.311523
4586.408000,19.010742,37.840430,11.311523
4586.428000,19.010742,37.840430,11.311523
4586.448000,19.010742,37.840430,11.311523
4586.468000,19.010742,37.840430,11.311523
4586.487000,19.010742,37.840430,11.311523
4586.506000,19.372852,36.029884,10.963477
4586.525000,19.372852,36.029884,10.963477
